EmployeeNumber,requisition_open_date,offer_accepted_date,start_date,time_to_fill_days,offer_to_start_lag_days,time_to_hire_days
150,2018-06-23,2018-07-19,2018-07-31,26,12,38
151,2022-05-27,2022-06-16,2022-07-14,20,28,48
152,2018-05-01,2018-06-01,2018-06-21,31,20,51
153,2012-09-18,2012-12-05,2013-01-01,78,27,105
154,2014-10-04,2014-10-28,2014-11-24,24,27,51
155,2022-09-23,2022-10-03,2022-10-17,10,14,24
158,1998-10-23,1998-11-15,1998-12-04,23,19,42
159,2013-06-25,2013-07-18,2013-08-07,23,20,43
160,2016-04-06,2016-05-04,2016-05-16,28,12,40
161,2018-04-12,2018-05-04,2018-05-21,22,17,39
162,2003-02-27,2003-06-19,2003-07-28,112,39,151
163,2016-02-03,2016-02-13,2016-03-08,10,24,34
164,2018-05-05,2018-06-01,2018-06-22,27,21,48
165,1983-09-13,1983-12-04,1983-12-18,82,14,96
167,2023-03-17,2023-03-30,2023-04-11,13,12,25
169,2021-05-17,2021-06-06,2021-06-19,20,13,33
170,2008-04-18,2008-05-12,2008-05-28,24,16,40
171,2020-05-25,2020-06-10,2020-06-22,16,12,28
174,2021-04-21,2021-05-24,2021-06-26,33,33,66
175,2021-10-09,2021-11-28,2021-12-12,50,14,64
176,2014-03-10,2014-05-28,2014-06-24,79,27,106
177,2015-02-25,2015-03-13,2015-03-31,16,18,34
178,2020-06-27,2020-09-04,2020-09-26,69,22,91
179,2019-04-09,2019-05-23,2019-06-09,44,17,61
182,2008-10-23,2008-12-18,2009-01-03,56,16,72
183,2021-07-23,2021-08-19,2021-09-10,27,22,49
184,2012-06-26,2012-07-23,2012-08-08,27,16,43
190,2017-12-05,2018-01-01,2018-01-21,27,20,47
192,2017-07-29,2017-10-19,2017-10-28,82,9,91
193,2020-08-10,2020-09-24,2020-10-06,45,12,57
194,2018-07-11,2018-07-28,2018-08-18,17,21,38
195,2014-11-16,2014-12-27,2015-01-18,41,22,63
197,2020-02-09,2020-02-29,2020-03-09,20,9,29
198,2018-11-20,2018-12-09,2019-01-02,19,24,43
199,2016-07-19,2016-10-06,2016-10-21,79,15,94
200,2018-02-01,2018-02-24,2018-03-21,23,25,48
201,2022-11-07,2022-12-03,2022-12-24,26,21,47
202,2003-01-07,2003-02-08,2003-03-09,32,29,61
204,2013-07-21,2013-09-02,2013-10-04,43,32,75
205,2015-12-28,2016-01-30,2016-02-15,33,16,49
206,2006-08-20,2006-09-04,2006-09-29,15,25,40
207,2014-06-03,2014-07-23,2014-08-09,50,17,67
208,2013-04-07,2013-04-29,2013-05-18,22,19,41
211,2022-10-27,2022-11-14,2022-11-29,18,15,33
214,2022-05-17,2022-06-08,2022-06-25,22,17,39
215,2011-05-06,2011-06-14,2011-07-15,39,31,70
216,2019-03-04,2019-03-19,2019-04-04,15,16,31
217,2020-12-05,2021-01-06,2021-01-16,32,10,42
218,2021-04-20,2021-05-03,2021-05-17,13,14,27
221,2018-07-07,2018-07-27,2018-08-18,20,22,42
223,2018-06-22,2018-07-27,2018-08-19,35,23,58
224,2022-07-05,2022-07-28,2022-08-15,23,18,41
226,2017-12-09,2018-02-24,2018-03-23,77,27,104
227,2014-08-22,2014-09-06,2014-09-19,15,13,28
228,2013-08-31,2013-10-21,2013-11-15,51,25,76
230,2015-07-25,2015-08-23,2015-09-15,29,23,52
231,2018-12-02,2018-12-13,2019-01-06,11,24,35
233,2018-11-07,2018-11-18,2018-12-07,11,19,30
235,2023-10-30,2023-11-19,2023-12-14,20,25,45
238,2015-02-24,2015-03-17,2015-04-09,21,23,44
239,2011-03-15,2011-04-15,2011-04-27,31,12,43
240,2018-03-20,2018-04-17,2018-05-05,28,18,46
241,2021-06-20,2021-07-15,2021-07-30,25,15,40
242,2020-03-16,2020-04-19,2020-04-28,34,9,43
243,2022-10-21,2022-11-05,2022-11-17,15,12,27
244,1998-12-30,1999-01-23,1999-02-21,24,29,53
245,2021-06-17,2021-07-02,2021-07-16,15,14,29
246,2019-01-01,2019-01-27,2019-02-07,26,11,37
247,2020-09-30,2020-11-07,2020-11-20,38,13,51
248,2019-06-18,2019-07-05,2019-07-18,17,13,30
249,2020-04-16,2020-04-24,2020-05-05,8,11,19
250,2019-06-21,2019-07-07,2019-07-19,16,12,28
252,2015-06-30,2015-07-16,2015-08-06,16,21,37
253,2003-08-16,2003-10-10,2003-11-16,55,37,92
254,1999-06-02,1999-07-31,1999-08-29,59,29,88
256,2013-08-25,2013-09-27,2013-10-19,33,22,55
258,2016-07-03,2016-08-21,2016-09-26,49,36,85
259,1989-12-18,1990-04-02,1990-05-10,105,38,143
260,2016-05-02,2016-05-20,2016-05-29,18,9,27
261,2022-04-16,2022-05-09,2022-06-07,23,29,52
262,2018-07-28,2018-08-25,2018-09-04,28,10,38
264,2002-12-16,2003-01-15,2003-01-30,30,15,45
267,2015-11-03,2015-11-30,2015-12-15,27,15,42
269,2017-07-14,2017-08-17,2017-09-11,34,25,59
270,2018-10-21,2018-11-20,2018-12-02,30,12,42
271,2022-06-28,2022-08-28,2022-09-13,61,16,77
273,2015-12-20,2016-01-14,2016-01-29,25,15,40
274,2021-06-04,2021-08-16,2021-09-03,73,18,91
275,2015-12-22,2016-01-20,2016-02-18,29,29,58
277,2018-06-20,2018-07-04,2018-07-18,14,14,28
281,2016-03-18,2016-04-20,2016-05-04,33,14,47
282,2022-06-28,2022-07-19,2022-08-01,21,13,34
283,2013-08-25,2013-09-22,2013-10-09,28,17,45
284,2019-03-05,2019-04-01,2019-04-12,27,11,38
286,2014-12-11,2015-01-09,2015-01-27,29,18,47
287,2020-08-28,2020-09-22,2020-10-10,25,18,43
288,2019-01-08,2019-03-14,2019-04-06,65,23,88
291,2009-07-13,2009-09-11,2009-10-11,60,30,90
292,2012-01-16,2012-04-03,2012-04-28,78,25,103
293,2016-02-14,2016-03-20,2016-04-02,35,13,48
296,2013-04-30,2013-07-14,2013-08-03,75,20,95
297,2018-03-27,2018-04-07,2018-04-21,11,14,25
298,2022-08-05,2022-09-07,2022-10-07,33,30,63
299,2017-11-11,2017-12-01,2017-12-17,20,16,36
300,2017-11-05,2017-11-29,2017-12-10,24,11,35
302,2004-06-07,2004-07-07,2004-08-04,30,28,58
303,2017-01-05,2017-01-31,2017-02-19,26,19,45
304,2010-09-10,2010-11-17,2010-11-29,68,12,80
305,2020-06-21,2020-07-12,2020-08-01,21,20,41
306,2013-02-23,2013-04-16,2013-05-03,52,17,69
307,2007-08-29,2007-10-03,2007-11-03,35,31,66
308,2018-02-26,2018-03-31,2018-04-26,33,26,59
309,2022-08-18,2022-09-10,2022-09-25,23,15,38
311,2014-02-11,2014-03-07,2014-03-25,24,18,42
312,2012-03-24,2012-05-24,2012-06-17,61,24,85
314,2013-03-22,2013-06-03,2013-06-29,73,26,99
315,2019-10-07,2019-11-02,2019-11-12,26,10,36
316,2021-06-16,2021-07-15,2021-07-29,29,14,43
319,2001-01-02,2001-02-15,2001-03-08,44,21,65
321,2021-12-01,2021-12-18,2022-01-07,17,20,37
323,2015-12-30,2016-03-26,2016-04-13,87,18,105
325,2018-05-30,2018-07-02,2018-07-19,33,17,50
327,2006-02-03,2006-03-27,2006-04-27,52,31,83
328,2014-03-20,2014-04-22,2014-05-17,33,25,58
329,1990-05-05,1990-07-17,1990-08-10,73,24,97
330,2019-08-15,2019-09-16,2019-09-25,32,9,41
331,2020-04-14,2020-05-10,2020-05-31,26,21,47
332,2020-10-26,2020-11-15,2020-11-24,20,9,29
333,2020-05-02,2020-06-03,2020-06-15,32,12,44
334,2022-11-02,2022-11-12,2022-12-11,10,29,39
335,2014-03-18,2014-04-25,2014-05-22,38,27,65
336,1999-04-11,1999-04-27,1999-05-31,16,34,50
337,2021-10-24,2021-11-15,2021-12-15,22,30,52
338,2021-03-06,2021-04-03,2021-04-13,28,10,38
339,2012-06-26,2012-08-04,2012-08-16,39,12,51
340,2020-03-05,2020-03-19,2020-04-02,14,14,28
341,2020-11-25,2020-12-19,2020-12-30,24,11,35
342,2022-07-26,2022-10-10,2022-11-10,76,31,107
343,2004-05-29,2004-07-04,2004-07-18,36,14,50
346,2017-08-25,2017-10-20,2017-11-07,56,18,74
347,2020-07-19,2020-08-20,2020-09-16,32,27,59
349,2020-03-22,2020-04-24,2020-05-18,33,24,57
350,2019-09-09,2019-11-09,2019-11-24,61,15,76
351,2014-04-02,2014-04-26,2014-05-12,24,16,40
352,2002-09-23,2002-11-08,2002-12-08,46,30,76
353,2022-09-29,2022-10-21,2022-11-12,22,22,44
355,2018-05-06,2018-05-29,2018-06-14,23,16,39
359,2018-03-05,2018-03-18,2018-03-31,13,13,26
361,2015-09-24,2015-10-19,2015-11-14,25,26,51
362,2017-08-07,2017-08-31,2017-09-27,24,27,51
363,2015-11-09,2016-01-17,2016-02-12,69,26,95
364,2022-12-18,2023-01-10,2023-01-19,23,9,32
366,2023-05-03,2023-05-28,2023-06-17,25,20,45
367,2014-06-07,2014-07-08,2014-08-04,31,27,58
369,2017-07-08,2017-08-12,2017-09-10,35,29,64
372,2003-03-03,2003-05-13,2003-06-06,71,24,95
373,2008-05-18,2008-06-02,2008-06-13,15,11,26
374,1987-07-16,1987-08-30,1987-09-30,45,31,76
376,2013-09-30,2013-12-07,2014-01-06,68,30,98
377,2018-10-06,2018-10-26,2018-11-20,20,25,45
378,2018-01-03,2018-01-19,2018-01-30,16,11,27
379,2020-07-06,2020-08-02,2020-08-15,27,13,40
380,2018-05-07,2018-06-29,2018-07-22,53,23,76
381,2016-06-19,2016-07-13,2016-07-28,24,15,39
382,2015-02-06,2015-03-09,2015-04-05,31,27,58
384,2017-10-27,2017-12-09,2017-12-22,43,13,56
385,2013-08-24,2013-11-12,2013-12-15,80,33,113
386,2018-06-21,2018-08-31,2018-10-06,71,36,107
387,2003-06-12,2003-06-28,2003-07-22,16,24,40
388,2013-03-19,2013-04-20,2013-05-15,32,25,57
389,2013-06-04,2013-07-03,2013-07-19,29,16,45
390,2018-06-14,2018-07-11,2018-08-06,27,26,53
391,2005-12-19,2006-01-21,2006-02-06,33,16,49
392,2022-09-26,2022-11-07,2022-11-17,42,10,52
393,2021-03-29,2021-06-03,2021-06-20,66,17,83
394,2020-05-09,2020-06-17,2020-07-01,39,14,53
395,2018-06-17,2018-07-09,2018-07-26,22,17,39
396,2019-12-15,2020-03-03,2020-03-26,79,23,102
397,2015-08-08,2015-09-21,2015-10-10,44,19,63
399,2020-12-25,2021-01-15,2021-01-31,21,16,37
401,2015-07-31,2015-08-30,2015-09-16,30,17,47
403,2019-05-10,2019-06-11,2019-07-01,32,20,52
404,2003-05-01,2003-06-17,2003-07-09,47,22,69
405,2023-01-31,2023-02-17,2023-03-11,17,22,39
406,2012-06-18,2012-07-20,2012-08-07,32,18,50
407,2022-08-11,2022-09-10,2022-10-03,30,23,53
408,2019-11-20,2019-12-22,2020-01-08,32,17,49
410,2001-06-26,2001-08-20,2001-09-04,55,15,70
411,2023-02-11,2023-03-09,2023-03-20,26,11,37
412,2015-11-19,2015-12-17,2016-01-12,28,26,54
416,2014-12-19,2015-01-26,2015-02-22,38,27,65
417,2005-04-23,2005-06-13,2005-06-30,51,17,68
419,2014-10-13,2014-11-02,2014-11-24,20,22,42
420,2010-07-17,2010-09-05,2010-09-26,50,21,71
421,2013-05-06,2013-06-11,2013-06-26,36,15,51
422,2018-08-16,2018-09-02,2018-09-21,17,19,36
423,2018-11-01,2018-11-16,2018-12-06,15,20,35
424,2021-03-31,2021-04-17,2021-05-16,17,29,46
425,1999-03-01,1999-04-15,1999-05-15,45,30,75
426,2021-11-01,2021-11-22,2021-12-02,21,10,31
428,2013-08-10,2013-09-17,2013-10-04,38,17,55
429,2002-07-13,2002-09-22,2002-10-17,71,25,96
430,2015-04-13,2015-05-09,2015-05-20,26,11,37
431,2016-01-23,2016-03-26,2016-04-23,63,28,91
433,2015-03-07,2015-04-14,2015-04-25,38,11,49
434,2018-12-30,2019-01-28,2019-02-07,29,10,39
436,2010-03-17,2010-03-29,2010-04-09,12,11,23
437,2018-08-10,2018-09-03,2018-09-19,24,16,40
438,2016-10-30,2016-11-11,2016-12-06,12,25,37
439,2016-04-18,2016-05-21,2016-06-04,33,14,47
440,2019-12-29,2020-01-21,2020-02-15,23,25,48
441,2012-11-20,2013-01-08,2013-01-24,49,16,65
442,2013-07-31,2013-10-09,2013-10-22,70,13,83
444,2002-07-12,2002-09-25,2002-10-20,75,25,100
445,2022-11-14,2022-12-07,2023-01-01,23,25,48
446,2016-10-08,2016-11-11,2016-11-24,34,13,47
447,2020-04-13,2020-06-08,2020-06-26,56,18,74
448,2014-05-01,2014-06-02,2014-06-29,32,27,59
449,2018-06-29,2018-08-10,2018-09-01,42,22,64
450,2019-08-12,2019-09-07,2019-09-24,26,17,43
451,2021-12-20,2022-02-18,2022-03-18,60,28,88
452,2013-05-23,2013-07-04,2013-07-31,42,27,69
453,2019-02-18,2019-03-09,2019-03-26,19,17,36
454,2015-12-08,2016-01-11,2016-01-29,34,18,52
455,2020-08-13,2020-09-12,2020-09-21,30,9,39
456,2013-09-18,2013-10-17,2013-11-02,29,16,45
458,2014-12-21,2015-01-11,2015-02-02,21,22,43
460,2017-04-21,2017-05-14,2017-05-28,23,14,37
461,2012-07-24,2012-08-28,2012-09-30,35,33,68
462,2012-03-07,2012-04-30,2012-06-02,54,33,87
463,2016-06-07,2016-06-26,2016-07-11,19,15,34
464,2006-12-08,2007-01-29,2007-02-19,52,21,73
465,2019-09-18,2019-10-02,2019-10-14,14,12,26
466,2017-11-29,2017-12-29,2018-01-18,30,20,50
467,2022-12-28,2023-01-26,2023-02-08,29,13,42
468,2022-05-24,2022-10-18,2022-11-10,147,23,170
469,2019-10-10,2019-10-26,2019-11-16,16,21,37
470,2020-05-14,2020-06-15,2020-07-04,32,19,51
471,2015-11-17,2015-12-11,2015-12-30,24,19,43
473,2023-07-28,2023-09-11,2023-09-28,45,17,62
474,2016-06-10,2016-07-14,2016-08-09,34,26,60
475,2020-11-30,2021-01-02,2021-01-26,33,24,57
476,2014-11-28,2014-12-24,2015-01-18,26,25,51
477,2022-09-04,2022-11-01,2022-11-20,58,19,77
478,2020-01-14,2020-01-31,2020-02-24,17,24,41
479,2022-10-11,2022-11-24,2022-12-12,44,18,62
481,2010-02-17,2010-03-18,2010-04-16,29,29,58
482,2020-01-27,2020-02-27,2020-03-12,31,14,45
483,2016-01-27,2016-02-11,2016-02-24,15,13,28
484,2020-09-14,2020-10-08,2020-10-25,24,17,41
485,2021-12-30,2022-02-04,2022-02-22,36,18,54
486,2018-10-21,2018-11-12,2018-12-03,22,21,43
487,2022-05-24,2022-06-23,2022-07-09,30,16,46
488,2015-06-13,2015-07-01,2015-07-28,18,27,45
491,2019-07-25,2019-09-03,2019-09-22,40,19,59
492,2017-12-01,2017-12-16,2018-01-06,15,21,36
493,2021-02-27,2021-03-15,2021-04-08,16,24,40
494,2022-08-05,2022-08-27,2022-09-14,22,18,40
495,2020-03-20,2020-04-28,2020-05-18,39,20,59
496,2022-04-13,2022-07-21,2022-08-18,99,28,127
497,2018-07-19,2018-08-06,2018-08-31,18,25,43
498,2015-12-18,2016-02-06,2016-02-26,50,20,70
499,2018-10-03,2018-11-20,2018-12-11,48,21,69
500,2016-03-12,2016-04-07,2016-04-21,26,14,40
501,2021-03-03,2021-03-30,2021-04-17,27,18,45
502,2018-07-03,2018-08-01,2018-08-29,29,28,57
505,2018-07-19,2018-09-15,2018-10-11,58,26,84
507,2018-12-03,2018-12-27,2019-01-13,24,17,41
508,2022-01-17,2022-01-28,2022-02-07,11,10,21
510,2017-01-07,2017-01-19,2017-02-03,12,15,27
511,2021-09-06,2021-10-06,2021-10-19,30,13,43
513,2013-10-28,2013-12-01,2014-01-03,34,33,67
514,2022-10-27,2022-11-14,2022-12-01,18,17,35
515,2005-11-17,2005-12-10,2005-12-21,23,11,34
516,2018-01-26,2018-03-05,2018-03-17,38,12,50
517,2018-01-06,2018-01-31,2018-02-23,25,23,48
518,2022-09-28,2022-10-23,2022-11-20,25,28,53
520,1997-12-16,1998-03-16,1998-04-17,90,32,122
521,2022-08-28,2022-10-28,2022-11-10,61,13,74
522,2019-05-23,2019-08-15,2019-09-03,84,19,103
523,2020-04-16,2020-05-27,2020-06-10,41,14,55
524,2010-02-08,2010-04-02,2010-04-27,53,25,78
525,2020-01-03,2020-02-08,2020-03-01,36,22,58
526,2018-10-23,2018-12-03,2018-12-29,41,26,67
527,2018-09-17,2018-10-23,2018-11-04,36,12,48
529,2010-08-12,2010-09-21,2010-10-04,40,13,53
530,2019-08-16,2019-08-31,2019-09-24,15,24,39
531,2001-09-06,2001-12-06,2002-01-15,91,40,131
532,2016-02-07,2016-03-06,2016-04-06,28,31,59
533,2018-08-18,2018-09-07,2018-09-20,20,13,33
534,2012-11-08,2013-01-11,2013-01-25,64,14,78
536,2013-05-20,2013-07-04,2013-07-16,45,12,57
538,2021-05-15,2021-06-26,2021-07-16,42,20,62
543,2018-06-01,2018-07-10,2018-08-09,39,30,69
544,2021-10-20,2021-11-04,2021-11-23,15,19,34
546,2017-11-28,2018-01-17,2018-02-07,50,21,71
547,2018-11-11,2018-12-15,2019-01-09,34,25,59
548,2018-09-28,2018-10-31,2018-11-12,33,12,45
549,1994-05-30,1994-09-16,1994-10-23,109,37,146
550,2013-08-11,2013-09-08,2013-10-05,28,27,55
551,2017-09-27,2017-11-03,2017-11-27,37,24,61
554,2018-12-03,2018-12-16,2019-01-08,13,23,36
555,2021-03-31,2021-04-24,2021-05-12,24,18,42
556,2021-12-18,2022-01-10,2022-01-26,23,16,39
558,2003-09-24,2003-11-07,2003-12-02,44,25,69
560,2020-08-14,2020-09-04,2020-09-28,21,24,45
562,2018-06-03,2018-06-24,2018-07-14,21,20,41
564,2012-12-16,2013-01-24,2013-02-10,39,17,56
565,2021-02-23,2021-04-11,2021-05-06,47,25,72
566,2022-03-14,2022-03-31,2022-04-10,17,10,27
567,2014-04-18,2014-05-22,2014-06-16,34,25,59
568,2022-07-06,2022-07-27,2022-08-15,21,19,40
569,1996-08-26,1996-10-04,1996-11-03,39,30,69
571,2012-01-28,2012-02-18,2012-03-05,21,16,37
573,2005-02-04,2005-03-05,2005-03-27,29,22,51
574,2018-10-18,2018-12-13,2019-01-05,56,23,79
575,2020-02-04,2020-03-27,2020-04-28,52,32,84
577,2018-10-22,2018-11-30,2018-12-15,39,15,54
578,2022-02-17,2022-03-22,2022-04-20,33,29,62
579,2016-02-08,2016-03-02,2016-03-19,23,17,40
580,2020-10-06,2020-11-12,2020-11-28,37,16,53
581,2010-06-13,2010-07-27,2010-08-09,44,13,57
582,2016-08-18,2016-11-13,2016-11-30,87,17,104
584,2019-05-24,2019-06-02,2019-06-22,9,20,29
585,2020-01-15,2020-01-24,2020-02-11,9,18,27
586,2015-10-23,2015-11-27,2015-12-17,35,20,55
587,2022-06-16,2022-07-30,2022-08-22,44,23,67
590,2019-11-11,2019-12-26,2020-01-25,45,30,75
591,2021-08-12,2021-09-09,2021-09-27,28,18,46
592,2013-10-11,2013-11-13,2013-11-27,33,14,47
593,2021-06-06,2021-07-11,2021-07-20,35,9,44
595,2014-05-12,2014-06-23,2014-07-13,42,20,62
597,2013-03-03,2013-04-24,2013-05-18,52,24,76
599,2009-07-16,2009-08-26,2009-09-22,41,27,68
600,2011-12-10,2012-01-10,2012-02-01,31,22,53
601,2003-04-24,2003-06-07,2003-07-09,44,32,76
602,2015-08-16,2015-09-15,2015-10-03,30,18,48
604,2016-12-14,2017-01-12,2017-01-29,29,17,46
605,2012-12-03,2013-01-16,2013-02-11,44,26,70
606,2015-05-06,2015-06-25,2015-07-17,50,22,72
608,2016-12-08,2016-12-15,2017-01-05,7,21,28
611,2020-05-10,2020-05-28,2020-06-11,18,14,32
612,2017-04-24,2017-05-28,2017-06-26,34,29,63
613,2018-10-01,2018-11-03,2018-11-21,33,18,51
614,2023-04-19,2023-05-07,2023-05-29,18,22,40
615,2022-01-23,2022-02-13,2022-03-14,21,29,50
616,2015-10-25,2015-11-16,2015-12-08,22,22,44
618,2023-03-09,2023-03-29,2023-04-26,20,28,48
620,2018-08-20,2018-11-03,2018-11-24,75,21,96
621,2013-02-06,2013-04-05,2013-04-16,58,11,69
622,2022-07-07,2022-07-27,2022-08-15,20,19,39
623,2017-11-06,2017-12-14,2018-01-12,38,29,67
624,2020-12-15,2021-01-12,2021-01-27,28,15,43
625,2005-10-07,2005-10-29,2005-11-15,22,17,39
626,2014-04-18,2014-05-24,2014-06-11,36,18,54
630,2013-09-21,2013-10-13,2013-11-09,22,27,49
631,2018-12-23,2019-01-19,2019-02-09,27,21,48
632,2021-03-15,2021-03-26,2021-04-20,11,25,36
634,2022-02-04,2022-02-28,2022-03-27,24,27,51
635,2017-06-16,2017-07-20,2017-08-10,34,21,55
638,1992-04-06,1992-06-25,1992-07-28,80,33,113
639,2017-04-17,2017-05-14,2017-05-28,27,14,41
641,2018-03-05,2018-03-22,2018-04-03,17,12,29
643,2022-01-23,2022-02-24,2022-03-11,32,15,47
644,1991-10-31,1991-12-09,1992-01-09,39,31,70
